Marca temporal,"El siguiente cuestionario hace parte de una tesis de maestría cuyo objetivo es indagar sobre las dinámicas de violencias basadas en género (VBG) en la Universidad de Antioquia. Su participación es completamente voluntaria y confidencial; puede retirarse en cualquier momento si así lo desea. Los datos serán anónimos y utilizados únicamente con fines académicos. Al continuar con esta encuesta, usted acepta participar de manera voluntaria y comprendiendo que puede omitir cualquier pregunta que le cause incomodidad. Si tiene preguntas, puede contactarme al correo Natalia.loperao@udea.edu.co. 
¿Desea continuar con el cuestionario? ",Pregrado,Semestre,Edad,Género,¿Ha sido víctima de alguno de los siguientes hechos al interior de la facultad? Seleccione una o varias opciones.  ,¿Ha tenido conocimiento de la ocurrencia de alguno de los siguientes hechos al interior de la facultad? Seleccione una o varias opciones,El último hecho del que tuvo conocimiento o ha sido víctima ocurrió,"De los siguientes hechos, seleccione los que considera que tiene mayor ocurrencia en la facultad. (Elija solo dos opciones)","Desde su perspectiva, ¿de cuáles actores suelen provenir en mayor medida los hechos de violencia de género? Seleccione máximo dos opciones. ","Desde su perspectiva, ¿en qué espacios suelen ocurrir con mayor frecuencia los hechos de violencia de género? Seleccione 3 opciones máximo",¿Qué iniciativas institucionales para la sensibilización de la violencia de género cconoce ? (Puede elegir multiples opciones),De las siguientes iniciativas ¿a cuántas ha asistido? (Puede elegir multiples opciones),"¿conoce la Ruta Violeta? (Marque una opción del 1 al 5, siendo 1 que no conoce nada y 5 que conoce mucho)","Si fueras víctima de violencia de género, ¿a qué dependencia recurriría para hacer la denuncia? (Puede elegir varias opciones). ","De los siguientes mecanismos de denuncia no institucional, ¿en cuáles ha participado? (Puede elegir varias opciones)","En caso de que usted fuera víctima de violencia de género ¿considera que puede recurrir a la Universidad en busca de ayuda, aunque el hecho se haya producido por fuera de ella?",¿Considera la Universidad un entorno seguro? ,  ¿Cómo calificaría los mecanismos institucionales para la atención de casos de violencia de género?  , ¿Cómo calificaría las posturas y estrategias del personal administrativo frente a las violencias basadas en género?  , ¿Cómo calificaría las posturas y estrategias de los docentes frente a las violencias basadas en género?  ,En términos generales ¿Cómo describiría al personal administrativo de la facultad?  ,En términos generales ¿Cómo describiría a los docentes de la facultad?  ,"¿Considera que el trato recibido por parte de los administrativos de la facultad fomenta la confianza, propiciando ambientes idóneos para las denuncias de violencias basadas en género?","¿Considera que el trato recibido por parte de los docentes de la facultad fomenta la confianza, propiciando ambientes idóneos para las denuncias de violencias basadas en género?","De los siguientes aspectos, seleccione los que considera más prioritarios para mejora la atención de los casos de violencia de género. Seleccione máximo 3 opciones  ","  Si considera que hay otro aspecto administrativo que la universidad deba mejorar para que la atención de los casos de violencia de género sea efectiva, porfavor mencionelos aquí.   "
12/9/2024 15:29:00,Sí,Antropología,6,20,Femenino,"Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido",En el último año,"Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Actores externos al rededor de la universidad","Alrededores de la Universidad, Prácticas y/o salidas de campo","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Conversatorios e iniciativas culturales y artísticas,3,"Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email",Escrache,No,No,Parcialmente efectivos,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No sabe/No responde,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 15:31:56,Sí,Historia,5,22,Masculino,Nignuno,Nignuno,No aplica,Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad,"Estudiantes, Actores externos al rededor de la universidad",Baños,Campañas de sensibilización,Ninguna,1,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email, Jefaturas, Decanatura",Divulgación en medios independientes como revistas,No,Sí,No sabe/No responde,No sabe/No responde,Innovadoras,"Colaborativo, proactivo","Colaborativo, proactivo",No sabe/No responde,Sí,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 15:33:28,Sí,Sociología ,5,44,Femenino,Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad,"Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 6 meses,"Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes","Prácticas y/o salidas de campo, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Conversatorios e iniciativas culturales y artísticas,2,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Protestas,Sí,Sí,No sabe/No responde,No sabe/No responde,Conservadoras,No sabe/No responde,"Colaborativo, proactivo",Sí,No,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 15:37:13,Sí,Trabajo social,6,21,Femenino,Comentarios sexistas en espacios de interacción social o esparcimiento,"Violación sexual, Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento",En los últimos 6 meses,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Compañero sexual o afectivo que también es estudiante, Actores externos al rededor de la universidad","Alrededores de la Universidad, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,3,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Centro de atención en género y diversidad sexual, Líneas de atención telefónica o vía email","Protestas, Escrache",Sí,No,No efectivos,No sabe/No responde,Flexibles,No sabe/No responde,"Colaborativo, proactivo",No,Sí,"Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 15:43:49,Sí,Antropología,Primero,23,Masculino,"Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido",Difusión de contenido sexual no consentido,Hace más de un año,"Acoso Sexual (acoso físico, verbal, visual)","Estudiantes, Actores externos al rededor de la universidad","Baños, Espacios de interacción social (plazoleta, jardineras, etc)","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Ninguna,1,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Ninguno,Sí,No,No sabe/No responde,No sabe/No responde,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",Sí,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 15:43:59,Sí,Psicología ,6,21,Femenino,"Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Acoso Sexual (Acoso físico, verbal, visual), Difusión de contenido sexual no consentido, Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc), Exclusión o discriminación en actividades académicas y/o laborales ligadas a la facultad",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual)","Docentes, Compañero sexual o afectivo que también es estudiante","Prácticas y/o salidas de campo, Pasillos, Espacios de interacción social (plazoleta, jardineras, etc)","No género violencia, Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios","No género violencia, Conversatorios e iniciativas culturales y artísticas, Cursos y seminarios",5,Bienestar Universitario,"Protestas, Escrache, Divulgación en medios independientes como revistas",No,No,No efectivos,Conservadoras,Flexibles,Inoperante,"Colaborativo, proactivo",No,Sí,"Mayor inclusión de los/las estudiantes en el diseño de los protocolos y rutas de atención, Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes",Priorización de los derechos de las víctimas respecto a la no confrontación en el campus con sus agresores 
12/9/2024 15:50:15,Sí,Historia ,Primero,42,Femenino,Nignuno,Nignuno,No aplica,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Actores externos al rededor de la universidad","Alrededores de la Universidad, Espacios de interacción social (plazoleta, jardineras, etc)",Ninguna,Ninguna,1,"Bienestar Universitario, Centro de atención en género y diversidad sexual",Ninguno,Sí,Sí,No sabe/No responde,No sabe/No responde,Innovadoras,No sabe/No responde,"Colaborativo, proactivo",Sí,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 16:00:12,Sí,Sociología ,2,20,Masculino,Nignuno,Nignuno,No aplica," Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)","Estudiantes, Docentes","Aulas, Prácticas y/o salidas de campo, Pasillos","Conversatorios e iniciativas culturales y artísticas, Campañas de sensibilización",Ninguna,2,"Bienestar Universitario, Unidad de asuntos disciplinarios (UAD), Líneas de atención telefónica o vía email",Ninguno,Sí,Sí,No sabe/No responde,No sabe/No responde,Flexibles,"Colaborativo, proactivo","Colaborativo, proactivo",Sí,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Mayor difusión de los protocolos y rutas de atención",
12/9/2024 16:04:36,Sí,Psicología ,10,22,Femenino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual)",En el último año,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexuales en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",Estudiantes,"Pasillos, Baños","No género violencia, Cátedra del cuidado de sí (Nataly Palacios), Cursos y seminarios, Campañas de sensibilización",Ninguna,5,"Bienestar Universitario, Líneas de atención telefónica o vía email",Escrache,Sí,Sí,Efectivos,Conservadoras,Conservadoras,Autoritario,Inoperante,Sí,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Mayor difusión de los protocolos y rutas de atención, Personal más empático y capacitado para atender a las víctimas",
12/9/2024 16:05:55,Sí,Sociologia,7,24,Masculino,Nignuno,"Acoso Sexual (Acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento, Comentarios sexistas en el ámbito académico (durante clase, asesorías, proyectos de investigación, etc)",En los últimos 3 meses,"Acoso Sexual (acoso físico, verbal, visual), Comentarios sexistas en espacios de interacción social o esparcimiento","Estudiantes, Compañero sexual o afectivo que también es estudiante","Prácticas y/o salidas de campo, Espacios de interacción social (plazoleta, jardineras, etc)",No género violencia,No género violencia,3,No haría la denuncia ,Ninguno,No,No,No efectivos,Conservadoras,Conservadoras,Inoperante,Autoritario,No,Sí,"Aumental la confianza de los estudiantes en los mecanismos institucionales, Diseño de protocolos y rutas de atención más claras y amigables para los/las estudiantes, Personal más empático y capacitado para atender a las víctimas",
